group,number_of_subjects,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1
all_subjects,13,0.849720339629346,0.12941041360057617,0.85675349539711,0.1300331419334761,0.8464358559833305,0.1480264799942364
multi_context_subjects,10,0.8182728051545132,0.1308001197660527,0.8274159076526066,0.1339462753989495,0.8074540989355835,0.14755779314725184
pooled_multi_context_predictions,10,0.8168168168168168,,0.8428951927406492,,0.8399219427123418,
