metric,mean,std
accuracy,0.8383357128500187,0.022488610168339057
balanced_accuracy,0.7771947585725126,0.09312178768803045
seizure_precision,0.8677473685142397,0.15686290234168665
seizure_recall_sensitivity,0.6358342459178014,0.30215776295476604
seizure_f1,0.6840306351787064,0.1346305025000717
specificity,0.9185552712272239,0.12498266139852854
