group,number_of_subjects,general_accuracy,personalized_accuracy,accuracy_improvement,general_balanced_accuracy,personalized_balanced_accuracy,general_macro_f1,personalized_macro_f1
all_subjects,13,0.8566699806097164,0.897260049891629,0.0405900692819124,0.8609361910185023,0.89944928908447,0.7779416158516069,0.7954041125868225
multi_context_subjects,10,0.830337641459298,0.8942158426368954,0.06387820117759722,0.8358837149907197,0.8970618535875887,0.8156938485062486,0.856287251124774
