test_subject,train_windows,test_windows,accuracy,balanced_accuracy,seizure_precision,seizure_recall_sensitivity,seizure_f1,specificity,TN,FP,FN,TP
chb01,987,308,0.8603896103896104,0.7779694923730933,0.9464285714285714,0.5698924731182796,0.7114093959731543,0.986046511627907,212,3,40,53
chb03,997,298,0.8154362416107382,0.6836880210618692,0.9696969696969697,0.37209302325581395,0.5378151260504201,0.9952830188679245,211,1,54,32
chb05,953,342,0.8391812865497076,0.8699267622825755,0.6871165644171779,0.9655172413793104,0.8028673835125448,0.7743362831858407,175,51,4,112
